city,overall,planet,people,profit,Continent,Sustainable cities by Corporate Knights,Resilient Cities by Grosvenor,Global Cities by AT Kearney ,European Green City index,US and Canada Green City index
ALA,,,,,Asia,,,118,,
ESB,,,,,Asia,,,86,,
NQZ,,,,,Asia,,,128,,
BKK,72,92,58,73,Asia,,,35,,
PEK,73,91,71,53,Asia,30,39,6,,
BOG,78,20,82,82,South America,36,,63,,
AEP,82,62,84,84,South America,35,36,32,,
CAI,86,89,79,91,Africa,,48,59,,
DUB,37,28,19,65,Europe,,29,45,21,
HAN,85,93,80,85,Asia,,,,,
HKG,63,56,65,45,Asia,,30,7,,
IST,74,55,74,79,Europe/Asia,46,,27,25,
CGK,83,68,81,86,Asia,,49,67,,
FIH,100,99,95,100,Africa,,,136,,
KUL,71,73,62,69,Asia,,,,,
LOS,99,88,100,99,Africa,40,,113,,
LHE,94,95,85,97,Asia,,,127,,
LIS,57,24,56,66,Europe,,,46,18,
MNL,93,83,97,89,Asia,,47,69,,
MEL,60,50,61,43,Oceania,,,12,,
MEX,79,53,83,77,North America,31,44,31,,
BOM,91,81,89,96,Asia,44,46,62,,
MUC,19,12,25,27,Europe,,24,26,,
NBO,96,82,98,95,Africa,,,89,,
OSL,1,1,17,39,Europe,2,,54,3,
PAR,8,2,43,31,Europe,17,23,3,10,
RIX,44,18,30,62,Europe,,,,15,
SFO,9,35,38,4,North America,16,16,11,,1
GRU,84,44,94,78,South America,42,41,40,,
ICN,26,43,4,44,Asia,25,35,17,,
SIN,35,69,5,28,Asia,45,32,9,,
TPE,46,71,20,29,Asia,,34,49,,
YVR,17,26,13,30,North America,8,2,39,,2
IAD,20,45,37,15,North America,24,9,14,,8
SYD,33,42,15,46,Oceania,26,19,15,,
BOS,22,54,54,3,North America,,7,21,,6
BNE,64,60,57,50,Oceania,,27,,,
TKY,2,7,7,20,Asia,,26,4,,
MIL,51,21,39,71,Europe,,33,44,,
CHI,52,67,70,8,North America,,,8,,11

